Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-8941858,Regulation of RUNX3 expression and activity,2,57,0.003711662,0.616319619,0.616319619,3,9,6.21E-04,9606,Homo sapiens,UBC,,R-HSA-8952408;R-HSA-8952382;R-HSA-8952419
R-HSA-70268,Pyruvate metabolism,2,57,0.003711662,0.616319619,0.616319619,4,15,0.001035769,9606,Homo sapiens,SLC16A3;PDK2,,R-HSA-373875;R-HSA-203946;R-HSA-373867;R-HSA-9011543
R-HSA-532668,N-glycan trimming in the ER and Calnexin/Calreticulin cycle,2,57,0.003711662,0.616319619,0.616319619,4,18,0.001242922,9606,Homo sapiens,UBC,,R-HSA-1022127;R-HSA-8853379;R-HSA-8850594;R-HSA-8867288
R-HSA-9013405,RHOD GTPase cycle,2,57,0.003711662,0.616319619,0.616319619,2,9,6.21E-04,9606,Homo sapiens,ARHGAP39;VAMP3,,R-HSA-9013437;R-HSA-9693198
R-HSA-163685,Integration of energy metabolism,5,147,0.009572182,0.62293205,0.62293205,15,66,0.004557382,9606,Homo sapiens,GNGT2;PRKAR1A;ITPR3;ADRA2C;CACNA1E,,R-HSA-400071;R-HSA-400037;R-HSA-400097;R-HSA-400046;R-HSA-265645;R-HSA-381612;R-HSA-381644;R-HSA-9728664;R-HSA-381707;R-HSA-381706;R-HSA-169683;R-HSA-169680;R-HSA-111925;R-HSA-422320;R-HSA-400092
R-HSA-5576891,Cardiac conduction,5,147,0.009572182,0.62293205,0.62293205,6,33,0.002278691,9606,Homo sapiens,KCNK5;CAMK2B;ITPR3;CAMK2G;KCNK3,,R-HSA-427910;R-HSA-169683;R-HSA-5226904;R-HSA-5576895;R-HSA-5578910;R-HSA-139854
R-HSA-69202,Cyclin E associated events during G1/S transition ,3,88,0.005730286,0.623878213,0.623878213,3,20,0.001381025,9606,Homo sapiens,UBC;CABLES1,,R-HSA-187574;R-HSA-187575;R-HSA-69195
R-HSA-8878159,Transcriptional regulation by RUNX3,4,118,0.007683792,0.625656401,0.625656401,11,47,0.003245408,9606,Homo sapiens,UBC;RBPJ;TEAD3,,R-HSA-8952408;R-HSA-1980047;R-HSA-8951676;R-HSA-8878243;R-HSA-8952382;R-HSA-8951695;R-HSA-1989766;R-HSA-4396347;R-HSA-8878237;R-HSA-8952419;R-HSA-8878220
R-HSA-5654719,SHC-mediated cascade:FGFR4,1,27,0.001758156,0.627379025,0.627379025,4,4,2.76E-04,9606,Homo sapiens,FGF18,,R-HSA-5654423;R-HSA-5654428;R-HSA-5654426;R-HSA-5654425
R-HSA-9694614,Attachment and Entry,1,27,0.001758156,0.627379025,0.627379025,5,11,7.60E-04,9606,Homo sapiens,GPC1,,R-HSA-9694579;R-HSA-9694661;R-HSA-9699007;R-HSA-9697423;R-HSA-9698988
R-HSA-196108,Pregnenolone biosynthesis,1,27,0.001758156,0.627379025,0.627379025,3,9,6.21E-04,9606,Homo sapiens,CYP11A1,,R-HSA-193065;R-HSA-193054;R-HSA-193101
R-HSA-9617828,FOXO-mediated transcription of cell cycle genes,1,27,0.001758156,0.627379025,0.627379025,6,22,0.001519127,9606,Homo sapiens,SMAD2,,R-HSA-9625520;R-HSA-9625510;R-HSA-9618004;R-HSA-9618021;R-HSA-9617838;R-HSA-9617996
R-HSA-450302,activated TAK1 mediates p38 MAPK activation,1,27,0.001758156,0.627379025,0.627379025,1,5,3.45E-04,9606,Homo sapiens,UBC,,R-HSA-450346
R-HSA-211958,Miscellaneous substrates,1,27,0.001758156,0.627379025,0.627379025,1,5,3.45E-04,9606,Homo sapiens,CYP4F22,,R-HSA-211962
R-HSA-9755088,Ribavirin ADME,1,27,0.001758156,0.627379025,0.627379025,2,12,8.29E-04,9606,Homo sapiens,NT5C2,,R-HSA-9754916;R-HSA-9755078
R-HSA-174403,Glutathione synthesis and recycling,1,27,0.001758156,0.627379025,0.627379025,1,9,6.21E-04,9606,Homo sapiens,THRSP,,R-HSA-1247935
R-HSA-1257604,PIP3 activates AKT signaling,11,322,0.020967637,0.629463745,0.629463745,35,88,0.006076509,9606,Homo sapiens,RPTOR;CBX8;CBX4;AGO2;SCMH1;UBC;FGF18;FYN;FGFR3,,R-HSA-8943817;R-HSA-8944457;R-HSA-6807206;R-HSA-8944522;R-HSA-2318752;R-HSA-8851011;R-HSA-8948621;R-HSA-8948623;R-HSA-8948612;R-HSA-8944454;R-HSA-8948569;R-HSA-8944538;R-HSA-8944599;R-HSA-8944104;R-HSA-8948651;R-HSA-8944684;R-HSA-8948524;R-HSA-6807106;R-HSA-8945709;R-HSA-8948832;R-HSA-6807118;R-HSA-8948641;R-HSA-8944483;R-HSA-8948582;R-HSA-8948775;R-HSA-8948583;R-HSA-8944632;R-HSA-8948536;R-HSA-2316434;R-HSA-8944569;R-HSA-8948602;R-HSA-8850992;R-HSA-6807134;R-HSA-8944497;R-HSA-8948594
R-HSA-8868773,rRNA processing in the nucleus and cytosol,7,207,0.013479195,0.631677882,0.631677882,2,15,0.001035769,9606,Homo sapiens,NAB1;UBC;CSNK1D;RPL8;RPS21,,R-HSA-6791223;R-HSA-6791218
R-HSA-9013409,RHOJ GTPase cycle,2,59,0.003841896,0.634956555,0.634956555,2,3,2.07E-04,9606,Homo sapiens,PREX1;VAMP3,,R-HSA-9017491;R-HSA-9017507
R-HSA-69541,Stabilization of p53,2,59,0.003841896,0.634956555,0.634956555,4,15,0.001035769,9606,Homo sapiens,UBC,,R-HSA-6804724;R-HSA-6804879;R-HSA-264444;R-HSA-264458
R-HSA-2514856,The phototransduction cascade,2,59,0.003841896,0.634956555,0.634956555,3,27,0.001864383,9606,Homo sapiens,PDE6G;PDE6B,,R-HSA-74065;R-HSA-2584246;R-HSA-74059
R-HSA-2559582,Senescence-Associated Secretory Phenotype (SASP),3,90,0.00586052,0.63887152,0.63887152,5,22,0.001519127,9606,Homo sapiens,UBC;FOS,,R-HSA-4568740;R-HSA-4568737;R-HSA-3797196;R-HSA-3797202;R-HSA-3788724
R-HSA-69656,Cyclin A:Cdk2-associated events at S phase entry,3,90,0.00586052,0.63887152,0.63887152,3,19,0.001311973,9606,Homo sapiens,UBC;CABLES1,,R-HSA-187574;R-HSA-187575;R-HSA-174164
R-HSA-3238698,WNT ligand biogenesis and trafficking,1,28,0.001823273,0.640768997,0.640768997,8,12,8.29E-04,9606,Homo sapiens,WNT11,,R-HSA-3247840;R-HSA-3238691;R-HSA-3247843;R-HSA-3247844;R-HSA-3238694;R-HSA-3781941;R-HSA-3247837;R-HSA-3781943
R-HSA-9670439,"Signaling by phosphorylated juxtamembrane, extracellular and kinase domain KIT mutants",1,28,0.001823273,0.640768997,0.640768997,7,11,7.60E-04,9606,Homo sapiens,FYN,,R-HSA-9670418;R-HSA-9670417;R-HSA-9670416;R-HSA-9670426;R-HSA-9670414;R-HSA-9670413;R-HSA-9670412
R-HSA-8964038,LDL clearance,1,28,0.001823273,0.640768997,0.640768997,9,20,0.001381025,9606,Homo sapiens,LDLR,,R-HSA-171122;R-HSA-171106;R-HSA-171059;R-HSA-6784738;R-HSA-171141;R-HSA-6784735;R-HSA-6784734;R-HSA-171087;R-HSA-6784729
R-HSA-200425,Carnitine metabolism,1,28,0.001823273,0.640768997,0.640768997,3,9,6.21E-04,9606,Homo sapiens,THRSP,,R-HSA-75851;R-HSA-8866941;R-HSA-8876889
R-HSA-9669938,Signaling by KIT in disease,1,28,0.001823273,0.640768997,0.640768997,7,26,0.001795332,9606,Homo sapiens,FYN,,R-HSA-9670418;R-HSA-9670417;R-HSA-9670416;R-HSA-9670426;R-HSA-9670414;R-HSA-9670413;R-HSA-9670412
R-HSA-166208,mTORC1-mediated signalling,1,28,0.001823273,0.640768997,0.640768997,2,8,5.52E-04,9606,Homo sapiens,RPTOR,,R-HSA-165718;R-HSA-165692
R-HSA-389357,CD28 dependent PI3K/Akt signaling,1,28,0.001823273,0.640768997,0.640768997,2,9,6.21E-04,9606,Homo sapiens,FYN,,R-HSA-389158;R-HSA-388832
R-HSA-112409,RAF-independent MAPK1/3 activation,1,28,0.001823273,0.640768997,0.640768997,1,12,8.29E-04,9606,Homo sapiens,DUSP2,,R-HSA-5675373
R-HSA-9694676,Translation of Replicase and Assembly of the Replication Transcription Complex,1,28,0.001823273,0.640768997,0.640768997,1,35,0.002416793,9606,Homo sapiens,CHMP6,,R-HSA-9698265
R-HSA-9755511,KEAP1-NFE2L2 pathway,6,180,0.011721039,0.643166084,0.643166084,21,117,0.008078995,9606,Homo sapiens,NPLOC4;MAFG;UBC;SOD3,,R-HSA-9766645;R-HSA-9761812;R-HSA-9759157;R-HSA-9761846;R-HSA-9762096;R-HSA-9796049;R-HSA-9755505;R-HSA-9759154;R-HSA-9755507;R-HSA-8932355;R-HSA-9761849;R-HSA-9759172;R-HSA-9761828;R-HSA-9708517;R-HSA-9755304;R-HSA-9758088;R-HSA-9796075;R-HSA-9755306;R-HSA-9758090;R-HSA-9762091;R-HSA-9759147
R-HSA-2408522,Selenoamino acid metabolism,6,180,0.011721039,0.643166084,0.643166084,2,33,0.002278691,9606,Homo sapiens,NAB1;UBC;RPL8;RPS21,,R-HSA-2408529;R-HSA-5333615
R-HSA-9692916,SARS-CoV-1 activates/modulates innate immune responses,2,60,0.003907013,0.644006092,0.644006092,4,30,0.002071537,9606,Homo sapiens,UBC,,R-HSA-9685219;R-HSA-9711058;R-HSA-9685195;R-HSA-9711016
R-HSA-5339562,Uptake and actions of bacterial toxins,2,60,0.003907013,0.644006092,0.644006092,4,66,0.004557382,9606,Homo sapiens,HSP90AB1;CD9,,R-HSA-5336417;R-HSA-5336420;R-HSA-5336422;R-HSA-5336413
R-HSA-195253,Degradation of beta-catenin by the destruction complex,3,91,0.005925637,0.646209534,0.646209534,8,23,0.001588178,9606,Homo sapiens,TLE3;UBC,,R-HSA-4649028;R-HSA-5246693;R-HSA-8944349;R-HSA-4641231;R-HSA-2130282;R-HSA-5229348;R-HSA-4641229;R-HSA-2130286
R-HSA-9639288,Amino acids regulate mTORC1,2,61,0.00397213,0.652877543,0.652877543,8,12,8.29E-04,9606,Homo sapiens,RPTOR;TCIRG1,,R-HSA-9640195;R-HSA-9640167;R-HSA-9639286;R-HSA-9646468;R-HSA-9645608;R-HSA-9640168;R-HSA-9640175;R-HSA-9645598
R-HSA-445355,Smooth Muscle Contraction,2,61,0.00397213,0.652877543,0.652877543,7,16,0.00110482,9606,Homo sapiens,DYSF;MYL12B,,R-HSA-5263633;R-HSA-445700;R-HSA-445813;R-HSA-445699;R-HSA-5263628;R-HSA-445704;R-HSA-445705
R-HSA-5362768,Hh mutants are degraded by ERAD,2,61,0.00397213,0.652877543,0.652877543,2,6,4.14E-04,9606,Homo sapiens,UBC,,R-HSA-5387392;R-HSA-5483238
R-HSA-5676590,NIK-->noncanonical NF-kB signaling,2,61,0.00397213,0.652877543,0.652877543,2,9,6.21E-04,9606,Homo sapiens,UBC,,R-HSA-5607731;R-HSA-5607725
R-HSA-389957,Prefoldin mediated transfer of substrate  to CCT/TriC,1,29,0.00188839,0.653678633,0.653678633,2,2,1.38E-04,9606,Homo sapiens,PFDN4,,R-HSA-389970;R-HSA-389980
R-HSA-8943723,Regulation of PTEN mRNA translation,1,29,0.00188839,0.653678633,0.653678633,22,24,0.00165723,9606,Homo sapiens,AGO2,,R-HSA-8944522;R-HSA-2318752;R-HSA-8948651;R-HSA-8944684;R-HSA-8948524;R-HSA-8945709;R-HSA-8948621;R-HSA-8948623;R-HSA-8948641;R-HSA-8944483;R-HSA-8948612;R-HSA-8948582;R-HSA-8948583;R-HSA-8944632;R-HSA-8948536;R-HSA-8944569;R-HSA-8948569;R-HSA-8944538;R-HSA-8948602;R-HSA-8944497;R-HSA-8948594;R-HSA-8944599
R-HSA-211935,Fatty acids,1,29,0.00188839,0.653678633,0.653678633,2,4,2.76E-04,9606,Homo sapiens,CYP4F22,,R-HSA-76466;R-HSA-211924
R-HSA-392451,G beta:gamma signalling through PI3Kgamma,1,29,0.00188839,0.653678633,0.653678633,2,4,2.76E-04,9606,Homo sapiens,GNGT2,,R-HSA-392295;R-HSA-392300
R-HSA-164952,The role of Nef in HIV-1 replication and disease pathogenesis,1,29,0.00188839,0.653678633,0.653678633,1,20,0.001381025,9606,Homo sapiens,FYN,,R-HSA-200908
R-HSA-187577,SCF(Skp2)-mediated degradation of p27/p21,2,62,0.004037247,0.661572015,0.661572015,2,7,4.83E-04,9606,Homo sapiens,UBC,,R-HSA-187574;R-HSA-187575
R-HSA-5610785,GLI3 is processed to GLI3R by the proteasome,2,62,0.004037247,0.661572015,0.661572015,1,5,3.45E-04,9606,Homo sapiens,UBC,,R-HSA-5610746
R-HSA-5610780,Degradation of GLI1 by the proteasome,2,62,0.004037247,0.661572015,0.661572015,1,6,4.14E-04,9606,Homo sapiens,UBC,,R-HSA-5610742
R-HSA-2219528,PI3K/AKT Signaling in Cancer,4,124,0.008074494,0.663741353,0.663741353,1,21,0.001450076,9606,Homo sapiens,FGF18;FYN;FGFR3,,R-HSA-2400009
R-HSA-428930,Thromboxane signalling through TP receptor,1,30,0.001953507,0.666125134,0.666125134,6,8,5.52E-04,9606,Homo sapiens,GNGT2,,R-HSA-428918;R-HSA-428917;R-HSA-428752;R-HSA-428750;R-HSA-428909;R-HSA-428749
R-HSA-204174,Regulation of pyruvate dehydrogenase (PDH) complex,1,30,0.001953507,0.666125134,0.666125134,2,4,2.76E-04,9606,Homo sapiens,PDK2,,R-HSA-203946;R-HSA-9011543
R-HSA-418592,ADP signalling through P2Y purinoceptor 1,1,30,0.001953507,0.666125134,0.666125134,3,7,4.83E-04,9606,Homo sapiens,GNGT2,,R-HSA-418581;R-HSA-418579;R-HSA-418576
R-HSA-933542,TRAF6 mediated NF-kB activation,1,30,0.001953507,0.666125134,0.666125134,1,4,2.76E-04,9606,Homo sapiens,BCAM,,R-HSA-168166
R-HSA-8876198,RAB GEFs exchange GTP for GDP on RABs,3,94,0.006120987,0.667585963,0.667585963,4,21,0.001450076,9606,Homo sapiens,ALS2CL;DENND3;TRAPPC9,,R-HSA-8876454;R-HSA-8877475;R-HSA-8876446;R-HSA-8875320
R-HSA-9020702,Interleukin-1 signaling,4,125,0.008139611,0.669825818,0.669825818,18,59,0.004074023,9606,Homo sapiens,BCAM;TNIP2;UBC,,R-HSA-168166;R-HSA-209063;R-HSA-5684275;R-HSA-209061;R-HSA-5684273;R-HSA-8948015;R-HSA-9750942;R-HSA-5684250;R-HSA-5684248;R-HSA-5684261;R-HSA-451634;R-HSA-9750946;R-HSA-8948063;R-HSA-9758604;R-HSA-168184;R-HSA-446877;R-HSA-451418;R-HSA-5684267
R-HSA-418597,G alpha (z) signalling events,2,63,0.004102364,0.670090767,0.670090767,4,13,8.98E-04,9606,Homo sapiens,GNGT2;ADRA2C,,R-HSA-749453;R-HSA-750988;R-HSA-751024;R-HSA-749446
R-HSA-201681,TCF dependent signaling in response to WNT,7,215,0.01400013,0.67013476,0.67013476,34,71,0.004902638,9606,Homo sapiens,TLE3;FZD4;DVL1;UBC;LGR6;SMARCA4,,R-HSA-4641159;R-HSA-3299569;R-HSA-1504213;R-HSA-3322422;R-HSA-4641155;R-HSA-3322431;R-HSA-201677;R-HSA-3322429;R-HSA-4641236;R-HSA-201685;R-HSA-1504193;R-HSA-5368582;R-HSA-4641246;R-HSA-201691;R-HSA-3640874;R-HSA-5368588;R-HSA-3640872;R-HSA-4641253;R-HSA-3361751;R-HSA-4641249;R-HSA-1504190;R-HSA-4641260;R-HSA-3640861;R-HSA-3772435;R-HSA-1504188;R-HSA-3772434;R-HSA-1504186;R-HSA-3772436;R-HSA-4641256;R-HSA-4641129;R-HSA-4641206;R-HSA-3322434;R-HSA-4641205;R-HSA-201717
R-HSA-6804756,Regulation of TP53 Activity through Phosphorylation,3,95,0.006186104,0.674498582,0.674498582,2,26,0.001795332,9606,Homo sapiens,UBC;PRKAB1,,R-HSA-6798373;R-HSA-6805470
R-HSA-163841,"Gamma carboxylation, hypusinylation, hydroxylation, and arylsulfatase activation",3,95,0.006186104,0.674498582,0.674498582,3,50,0.003452562,9606,Homo sapiens,FN3K;U2AF2;RPL8,,R-HSA-9630993;R-HSA-9630022;R-HSA-6788867
R-HSA-9711123,Cellular response to chemical stress,10,305,0.01986065,0.676953973,0.676953973,27,173,0.011945864,9606,Homo sapiens,NCOR2;PRDX2;NPLOC4;GPX3;CARM1;MAFG;UBC;SOD3,,R-HSA-9761812;R-HSA-9796049;R-HSA-400143;R-HSA-8932355;R-HSA-3299682;R-HSA-9759172;R-HSA-3697838;R-HSA-9758088;R-HSA-9758090;R-HSA-9766645;R-HSA-9759157;R-HSA-9761846;R-HSA-9762096;R-HSA-9755505;R-HSA-9759154;R-HSA-3341397;R-HSA-9755507;R-HSA-9761849;R-HSA-3341343;R-HSA-9761828;R-HSA-9708517;R-HSA-9755304;R-HSA-4837364;R-HSA-9796075;R-HSA-9755306;R-HSA-9762091;R-HSA-9759147
R-HSA-1971475,A tetrasaccharide linker sequence is required for GAG synthesis,1,31,0.002018623,0.678125087,0.678125087,5,5,3.45E-04,9606,Homo sapiens,GPC1,,R-HSA-1889981;R-HSA-9638064;R-HSA-1889978;R-HSA-1878002;R-HSA-1889955
R-HSA-997272,Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits,1,31,0.002018623,0.678125087,0.678125087,3,3,2.07E-04,9606,Homo sapiens,GNGT2,,R-HSA-1013020;R-HSA-1013013;R-HSA-1013012
R-HSA-1296041,Activation of G protein gated Potassium channels,1,31,0.002018623,0.678125087,0.678125087,3,3,2.07E-04,9606,Homo sapiens,GNGT2,,R-HSA-1013020;R-HSA-1013013;R-HSA-1013012
R-HSA-1296059,G protein gated Potassium channels,1,31,0.002018623,0.678125087,0.678125087,3,3,2.07E-04,9606,Homo sapiens,GNGT2,,R-HSA-1013020;R-HSA-1013013;R-HSA-1013012
R-HSA-5654695,PI-3K cascade:FGFR2,1,31,0.002018623,0.678125087,0.678125087,6,7,4.83E-04,9606,Homo sapiens,FGF18,,R-HSA-5654614;R-HSA-5654612;R-HSA-5654622;R-HSA-5654620;R-HSA-5654701;R-HSA-5654697
R-HSA-5654693,FRS-mediated FGFR1 signaling,1,31,0.002018623,0.678125087,0.678125087,7,9,6.21E-04,9606,Homo sapiens,FRS3,,R-HSA-5654578;R-HSA-5654586;R-HSA-5654587;R-HSA-5654571;R-HSA-5654584;R-HSA-5654392;R-HSA-8941623
R-HSA-3000157,Laminin interactions,1,31,0.002018623,0.678125087,0.678125087,9,15,0.001035769,9606,Homo sapiens,LAMA5,,R-HSA-2426676;R-HSA-216048;R-HSA-2426450;R-HSA-2396083;R-HSA-2426530;R-HSA-4084505;R-HSA-3907292;R-HSA-2327803;R-HSA-216058
R-HSA-203927,MicroRNA (miRNA) biogenesis,1,31,0.002018623,0.678125087,0.678125087,3,8,5.52E-04,9606,Homo sapiens,AGO2,,R-HSA-203862;R-HSA-210805;R-HSA-2106614
R-HSA-420029,Tight junction interactions,1,31,0.002018623,0.678125087,0.678125087,1,3,2.07E-04,9606,Homo sapiens,CLDN9,,R-HSA-420019
R-HSA-1482801,Acyl chain remodelling of PS,1,31,0.002018623,0.678125087,0.678125087,2,8,5.52E-04,9606,Homo sapiens,NES,,R-HSA-1482691;R-HSA-1482636
R-HSA-174411,Polymerase switching on the C-strand of the telomere,1,31,0.002018623,0.678125087,0.678125087,1,6,4.14E-04,9606,Homo sapiens,STN1,,R-HSA-174452
R-HSA-3296469,Defects in cobalamin (B12) metabolism,1,31,0.002018623,0.678125087,0.678125087,2,14,9.67E-04,9606,Homo sapiens,AMN,,R-HSA-3296462;R-HSA-3296477
R-HSA-389599,Alpha-oxidation of phytanate,1,31,0.002018623,0.678125087,0.678125087,1,8,5.52E-04,9606,Homo sapiens,PECR,,R-HSA-6809810
R-HSA-1187000,Fertilization,1,31,0.002018623,0.678125087,0.678125087,1,9,6.21E-04,9606,Homo sapiens,CD9,,R-HSA-1297275
R-HSA-425410,Metal ion SLC transporters,1,31,0.002018623,0.678125087,0.678125087,1,20,0.001381025,9606,Homo sapiens,SLC39A4,,R-HSA-442422
R-HSA-1266695,Interleukin-7 signaling,1,31,0.002018623,0.678125087,0.678125087,1,26,0.001795332,9606,Homo sapiens,SMARCA4,,R-HSA-8865605
R-HSA-174084,Autodegradation of Cdh1 by Cdh1:APC/C,2,64,0.004167481,0.678435192,0.678435192,2,2,1.38E-04,9606,Homo sapiens,UBC,,R-HSA-174058;R-HSA-174057
R-HSA-75893,TNF signaling,2,64,0.004167481,0.678435192,0.678435192,17,58,0.004004972,9606,Homo sapiens,UBC,,R-HSA-5693108;R-HSA-9815510;R-HSA-9796342;R-HSA-5357845;R-HSA-9796368;R-HSA-9815507;R-HSA-9817362;R-HSA-9796626;R-HSA-9818975;R-HSA-5357757;R-HSA-9794008;R-HSA-9817400;R-HSA-9796346;R-HSA-9793988;R-HSA-9796387;R-HSA-9793679;R-HSA-9796617
R-HSA-5387390,Hh mutants abrogate ligand secretion,2,64,0.004167481,0.678435192,0.678435192,2,7,4.83E-04,9606,Homo sapiens,UBC,,R-HSA-5387392;R-HSA-5483238
R-HSA-72312,rRNA processing,8,247,0.016083871,0.68070849,0.68070849,3,21,0.001450076,9606,Homo sapiens,NAB1;MTERF4;UBC;CSNK1D;RPL8;RPS21,,R-HSA-6791223;R-HSA-6791218;R-HSA-6793057
R-HSA-390466,Chaperonin-mediated protein folding,3,96,0.006251221,0.681304828,0.681304828,5,19,0.001311973,9606,Homo sapiens,GNGT2;SPHK1;PFDN4,,R-HSA-6814418;R-HSA-391266;R-HSA-8850560;R-HSA-389970;R-HSA-389980
R-HSA-1483166,Synthesis of PA,2,65,0.004232598,0.686606811,0.686606811,1,17,0.001173871,9606,Homo sapiens,PLD1,,R-HSA-1483182
R-HSA-9645723,Diseases of programmed cell death,3,97,0.006316338,0.68800485,0.68800485,4,37,0.002554896,9606,Homo sapiens,PRDX2;CAPNS1,,R-HSA-8868134;R-HSA-8863012;R-HSA-8863008;R-HSA-8868573
R-HSA-5653656,Vesicle-mediated transport,28,828,0.053916781,0.68891672,0.68891672,95,252,0.017400911,9606,Homo sapiens,SCARB1;DENND3;TNFRSF11B;NAPG;GGA3;ALS2CL;UBC;KIF13B;TBC1D14;LDLR;TBC1D10A;TXNDC5;TBC1D16;TPD52;STN1;FZD4;ASPSCR1;CSNK1D;LNPEP;EPS15L1;TRAPPC9;PRKAB1;VAMP8;CHMP6;FOLR1;VAMP3,,R-HSA-8868230;R-HSA-1445143;R-HSA-5694423;R-HSA-5694418;R-HSA-2512800;R-HSA-5694417;R-HSA-8868236;R-HSA-1445149;R-HSA-1445144;R-HSA-5694425;R-HSA-8847638;R-HSA-8847637;R-HSA-8854293;R-HSA-8876446;R-HSA-8867613;R-HSA-8854173;R-HSA-5694410;R-HSA-8871194;R-HSA-8871193;R-HSA-5694409;R-HSA-8876454;R-HSA-6807877;R-HSA-6807875;R-HSA-8877475;R-HSA-6814671;R-HSA-8847534;R-HSA-376364;R-HSA-6814670;R-HSA-8867756;R-HSA-8868651;R-HSA-8867754;R-HSA-8868648;R-HSA-2197646;R-HSA-5694439;R-HSA-6814678;R-HSA-8868661;R-HSA-8868660;R-HSA-917693;R-HSA-6814676;R-HSA-8868659;R-HSA-6814675;R-HSA-8868658;R-HSA-6814674;R-HSA-8847537;R-HSA-432688;R-HSA-5694446;R-HSA-8869438;R-HSA-6814684;R-HSA-434362;R-HSA-6814683;R-HSA-5694441;R-HSA-8875320;R-HSA-6811431;R-HSA-421831;R-HSA-432706;R-HSA-432707;R-HSA-6811426;R-HSA-203973;R-HSA-6811425;R-HSA-8854209;R-HSA-6809006;R-HSA-8854222;R-HSA-917700;R-HSA-421836;R-HSA-8854604;R-HSA-6809003;R-HSA-421835;R-HSA-917696;R-HSA-432712;R-HSA-421833;R-HSA-6809015;R-HSA-6809014;R-HSA-6809011;R-HSA-6809010;R-HSA-8866269;R-HSA-8868071;R-HSA-8863463;R-HSA-8866279;R-HSA-8854759;R-HSA-8863727;R-HSA-8863471;R-HSA-5694527;R-HSA-204008;R-HSA-5694522;R-HSA-8863723;R-HSA-8866283;R-HSA-917730;R-HSA-8863721;R-HSA-8868072;R-HSA-1449574;R-HSA-429815;R-HSA-8863472;R-HSA-6811423;R-HSA-6811422;R-HSA-1454699
R-HSA-9703465,Signaling by FLT3 fusion proteins,1,32,0.00208374,0.689694485,0.689694485,11,18,0.001242922,9606,Homo sapiens,TIAF1,,R-HSA-9703430;R-HSA-9703440;R-HSA-9703441;R-HSA-9703442;R-HSA-9703437;R-HSA-9703438;R-HSA-9703439;R-HSA-9703432;R-HSA-9703433;R-HSA-9703434;R-HSA-9703435
R-HSA-8934593,Regulation of RUNX1 Expression and Activity,1,32,0.00208374,0.689694485,0.689694485,6,19,0.001311973,9606,Homo sapiens,AGO2,,R-HSA-8935864;R-HSA-8935785;R-HSA-8939129;R-HSA-8935930;R-HSA-8936058;R-HSA-8936068
R-HSA-70635,Urea cycle,1,32,0.00208374,0.689694485,0.689694485,1,8,5.52E-04,9606,Homo sapiens,ASS1,,R-HSA-70577
R-HSA-2161522,Abacavir ADME,1,32,0.00208374,0.689694485,0.689694485,1,10,6.91E-04,9606,Homo sapiens,NT5C2,,R-HSA-2162066
R-HSA-6811558,"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",4,129,0.008400078,0.693402104,0.693402104,1,7,4.83E-04,9606,Homo sapiens,FGF18;FYN;FGFR3,,R-HSA-2316434
R-HSA-5678895,Defective CFTR causes cystic fibrosis,2,66,0.004297714,0.694607259,0.694607259,3,8,5.52E-04,9606,Homo sapiens,UBC,,R-HSA-8866854;R-HSA-8866858;R-HSA-8866856
R-HSA-5607761,Dectin-1 mediated noncanonical NF-kB signaling,2,66,0.004297714,0.694607259,0.694607259,2,9,6.21E-04,9606,Homo sapiens,UBC,,R-HSA-5607731;R-HSA-5607725
R-HSA-201722,Formation of the beta-catenin:TCF transactivating complex,2,66,0.004297714,0.694607259,0.694607259,2,13,8.98E-04,9606,Homo sapiens,TLE3;SMARCA4,,R-HSA-3299569;R-HSA-3322422
R-HSA-9772572,Early SARS-CoV-2 Infection Events,2,66,0.004297714,0.694607259,0.694607259,6,74,0.005109791,9606,Homo sapiens,GPC1;CHMP6,,R-HSA-9694579;R-HSA-9694661;R-HSA-9698265;R-HSA-9699007;R-HSA-9697423;R-HSA-9698988
R-HSA-1483206,Glycerophospholipid biosynthesis,7,221,0.014390832,0.697293428,0.697293428,13,133,0.009183814,9606,Homo sapiens,PGS1;CHKA;DGAT1;PITPNM3;PLD1;NES,,R-HSA-1482646;R-HSA-1483222;R-HSA-1482547;R-HSA-1483004;R-HSA-1482939;R-HSA-1483142;R-HSA-1482533;R-HSA-1482691;R-HSA-1483182;R-HSA-1482636;R-HSA-1482667;R-HSA-8869241;R-HSA-1482889
R-HSA-5654699,SHC-mediated cascade:FGFR2,1,33,0.002148857,0.70084875,0.70084875,4,4,2.76E-04,9606,Homo sapiens,FGF18,,R-HSA-5654406;R-HSA-5654407;R-HSA-5654404;R-HSA-5654402
R-HSA-73863,RNA Polymerase I Transcription Termination,1,33,0.002148857,0.70084875,0.70084875,3,4,2.76E-04,9606,Homo sapiens,TAF1B,,R-HSA-74993;R-HSA-74992;R-HSA-74994
R-HSA-4641262,Disassembly of the destruction complex and recruitment of AXIN to the membrane,1,33,0.002148857,0.70084875,0.70084875,4,7,4.83E-04,9606,Homo sapiens,DVL1,,R-HSA-201685;R-HSA-201691;R-HSA-1504186;R-HSA-201677
